trial_id,km,ambiente_seca,ambiente_umida,ct,fc,ibutg,interna,interna_pele,pacing,pele,pse,st,tpeito,umidade_absoluta,umidade_relativa,velocidade,vento
7,3,33.15,28.75,2.00,188.00,30.07,37.41,3.10,4.37,34.31,10.00,5.00,35.80,0.03,74.00,13.74,0.00
7,4,33.10,28.60,2.00,189.00,29.95,37.74,2.75,4.43,34.99,11.00,5.00,34.20,0.03,74.00,13.56,0.00
7,5,33.10,28.80,2.00,180.00,30.09,38.14,2.98,4.48,35.16,12.00,5.00,33.20,0.03,74.00,13.40,0.00
7,6,33.10,29.00,2.00,176.00,30.23,38.58,3.14,4.52,35.44,14.00,6.00,36.20,0.03,74.00,13.27,0.00
7,7,33.05,28.50,3.00,166.00,29.87,39.06,3.37,4.69,35.69,15.00,6.00,35.80,0.03,71.00,12.79,0.00
7,8,33.00,28.00,3.00,186.00,29.50,39.53,4.24,4.76,35.29,15.00,7.00,34.80,0.02,68.00,12.59,0.00
7,9,33.00,28.00,4.00,174.00,29.50,39.91,4.10,4.78,35.81,17.00,6.00,35.80,0.02,68.00,12.56,0.00
7,10,33.00,28.00,4.00,191.00,29.50,40.38,3.77,4.91,36.61,19.00,6.00,36.20,0.02,68.00,12.22,0.00
8,1,33.00,28.25,2.00,143.00,29.68,36.89,3.39,6.00,33.50,8.00,5.00,36.40,0.03,69.50,10.00,0.00
8,2,32.90,28.50,2.00,150.00,29.82,37.13,3.31,5.94,33.82,8.00,5.00,36.80,0.03,71.00,10.10,0.00
8,3,33.05,28.55,2.00,158.00,29.90,37.41,3.47,5.71,33.94,9.00,5.00,35.60,0.03,71.00,10.52,0.00
8,4,33.20,28.60,3.00,162.00,29.98,37.72,3.68,5.68,34.04,12.00,5.00,34.40,0.03,71.00,10.57,0.00
8,5,33.15,28.50,3.00,165.00,29.90,38.01,3.82,5.66,34.19,13.00,5.00,33.40,0.03,71.00,10.61,0.00
8,6,33.10,28.40,3.00,173.00,29.81,38.32,3.81,5.63,34.51,15.00,5.00,36.60,0.03,71.00,10.66,0.00
8,7,33.05,28.35,3.00,176.00,29.76,38.54,3.58,5.62,34.96,16.00,6.00,35.40,0.03,71.00,10.67,0.00
8,8,33.00,28.30,3.00,180.00,29.71,38.80,3.79,5.61,35.01,16.00,6.00,35.20,0.03,71.00,10.69,0.00
8,9,33.05,28.35,4.00,186.00,29.76,39.04,3.68,5.58,35.36,18.00,6.00,36.60,0.03,71.00,10.75,0.00
8,10,33.10,28.40,4.00,187.00,29.81,39.26,3.67,5.54,35.59,18.00,7.00,36.20,0.03,71.00,10.83,0.00
9,1,32.90,28.35,1.00,149.00,29.72,37.44,2.47,5.88,34.97,8.00,5.00,36.80,0.03,69.50,10.20,0.00
9,2,33.00,28.70,2.00,161.00,29.99,37.86,2.99,6.51,34.87,10.00,5.00,35.60,0.03,71.00,9.22,0.00
9,3,33.00,28.60,2.00,168.00,29.92,38.27,2.97,6.42,35.30,11.00,5.00,35.20,0.03,71.00,9.35,0.00
9,4,33.00,28.50,2.00,172.00,29.85,38.65,2.92,6.34,35.73,12.00,5.00,34.80,0.03,71.00,9.46,0.00
